"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ko:K00163",283.382853393149,2.0451031663575,0.196351031378579,10.4155458313554,2.10586093807722e-25,9.73118339485484e-22
"ko:K10946",304.898120766281,2.52708172786312,0.252556953279839,10.0059875408105,1.43453200555789e-23,3.31448619884151e-20
"ko:K00760",157.762331520372,-3.3525442047084,0.348998987346135,-9.6061717261757,7.52965738818943e-22,1.15981822636078e-18
"ko:K00114",479.1045104417,2.38106418076827,0.25499391965023,9.33772924481625,9.84222298829644e-21,1.13702281072295e-17
"ko:K01915",701.04131681543,1.65563298215787,0.178343178942636,9.28341073638928,1.64138340895596e-20,1.5169665465571e-17
"ko:K22447",131.821212118682,4.04228685007612,0.436567061883066,9.25925751851349,2.05858688714291e-20,1.58545500091457e-17
"ko:K05349",65.2590791220729,2.8033995842676,0.304309222432388,9.21233856095329,3.19095817420883e-20,2.10648824614557e-17
"ko:K03093",41.741950804134,2.98328533720406,0.350471272867709,8.5122107520925,1.70648047569263e-17,9.49286609341878e-15
"ko:K13525",232.197201354174,2.77708343963862,0.326603636486732,8.50291646936831,1.84885944256154e-17,9.49286609341878e-15
"ko:K01584",50.0400305134538,3.59526695742249,0.443489136172141,8.10677571147309,5.19806853680911e-16,2.40202747085949e-13
"ko:K01621",42.4849906501865,3.67787837313574,0.467652824986543,7.86454860663264,3.70430735096954e-15,1.55614584262093e-12
"ko:K03337",76.7955907842985,3.51507924005919,0.448357044820141,7.83991080472321,4.50866576572346e-15,1.73621204195067e-12
"ko:K02429",20.3058387056699,4.90132757231396,0.640210656103535,7.6558044224764,1.92105898705212e-14,6.82862583012911e-12
"ko:K08884",2790.91949469803,3.14625397868648,0.41187270499447,7.63889896206819,2.19087143101194e-14,7.23144063050442e-12
"ko:K09758",23.1803159130148,8.85886091440822,1.18195820841397,7.49507118893455,6.62623893100257e-14,2.00870718904168e-11
"ko:K01537",49.661273474568,3.09351076802445,0.413089600198274,7.48871616845263,6.95505627021571e-14,2.00870718904168e-11
"ko:K19668",61.010999984844,4.52858651003687,0.612049889408657,7.39904799984891,1.37164269207272e-13,3.607052010568e-11
"ko:K03041",29.8857127951257,4.0602969004299,0.548996480587108,7.39585233057912,1.4050408177932e-13,3.607052010568e-11
"ko:K10944",180.121199457247,2.84685468357977,0.386669572728159,7.36249988198889,1.80497586727034e-13,4.38989130666119e-11
"ko:K00656",16.7097306653704,8.38281518357855,1.16920073105023,7.16969717941311,7.51638385471205e-13,1.73666048963122e-10
"ko:K00012",9066.34184577342,2.42288377103896,0.340080552944835,7.12444081279761,1.04504084547312e-12,2.29958749853872e-10
"ko:K14645",350.558860484781,-3.18511028223279,0.452488836343156,-7.03909141267141,1.93497400877219e-12,4.06432495206195e-10
"ko:K08717",35.0481134654549,4.19104192804542,0.599093272472208,6.99564178170578,2.64047402512081e-12,5.30505672612316e-10
