"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"M00174",550.577857396432,2.72270660821562,0.250407547552728,10.8731012097082,1.5484625954404e-27,8.42363651919576e-25
"M00528",549.90600007898,2.56517104305288,0.270883065688269,9.46966188726198,2.80750965916238e-21,7.63642627292168e-19
"M00400",228.45145991654,2.68894123545524,0.295275550984031,9.10654887102612,8.50441658051944e-20,1.15660065495064e-17
"M00403",228.45145991654,2.68894123545524,0.295275550984031,9.10654887102612,8.50441658051944e-20,1.15660065495064e-17
"M00177",70.936322488387,3.3117226510519,0.381405276379255,8.68294923051576,3.85636549844808e-18,4.19572566231152e-16
"M00184",93.2655543306717,3.35546596872637,0.454384413849762,7.38464143234416,1.52864785681444e-13,1.21044842003353e-11
"M00014",9074.7141545639,2.28236134800253,0.309577550030862,7.37250277927132,1.67454102291415e-13,1.21044842003353e-11
"M00361",9348.46907101124,2.16964313788278,0.295576386978757,7.34038046834475,2.12987517040536e-13,1.21044842003353e-11
"M00362",9439.71291181951,2.1264336260361,0.289690932698947,7.34035272082864,2.13031679947174e-13,1.21044842003353e-11
"M00129",9091.2083575331,2.29527240050493,0.312940829598088,7.33452519906962,2.22508900741458e-13,1.21044842003353e-11
"M00701",21.5413105395109,5.55974412619502,0.76274939012484,7.28908367305945,3.12070203594554e-13,1.54332900686761e-11
"M00391",55.6917715235854,3.14519440716921,0.447083261588593,7.03491872183625,1.99377189561314e-12,9.03843259344624e-11
"M00619",15.1490492670214,8.15054122707368,1.19287098902535,6.83270974150622,8.33254464111246e-12,3.48684944981937e-10
"M00429",153.55854224798,-2.93582144779869,0.431591457375277,-6.80231593473346,1.02950512054677e-11,4.00036275412461e-10
"M00222",143.817566660897,-1.93014389739332,0.285185769425705,-6.7680231775946,1.3055384611761e-11,4.73475281919866e-10
"M00216",62.6127711170598,3.55822739843421,0.530384004939521,6.70877584032714,1.96263885412098e-11,6.67297210401132e-10
"M00727",92.2088726473314,-1.95245286939067,0.292541444410312,-6.67410688877368,2.48742279075893e-11,7.95975293042858e-10
"M00215",87.629481507615,2.14335450769552,0.328687630838148,6.52094665756056,6.98650300581839e-11,2.11147646398067e-09
"M00209",313.045652613565,-2.84877858477056,0.442060423177703,-6.44431945364489,1.16120272549534e-10,3.32470675089191e-09
"M00804",858.702212555691,2.5376504905265,0.419278632624594,6.05242025962866,1.42685633939161e-09,3.88104924314518e-08
"M00309",37.47576852407,2.27025680777904,0.393012924528176,5.77654490753594,7.62501580290763e-09,1.97524218894369e-07
"M00539",11.2688259768843,4.48527637753367,0.802244219974002,5.59091142804247,2.2588078768521e-08,5.58541584094338e-07
"M00651",38.5167657462434,-2.1062605326413,0.380575565588626,-5.53440820454041,3.12280925307354e-08,7.38612275509569e-07
"M00240",61.3087625316795,-1.97838846173522,0.370883112068436,-5.33426407770803,9.59328249946566e-08,2.17447736654555e-06
"M00126",245.728398947865,-0.971829259405027,0.184859126494098,-5.25713432620843,1.46317442665236e-07,3.18386755239553e-06
"M00319",22.7655832536653,-3.68588551982127,0.727726415281939,-5.06493297813474,4.08544060456626e-07,8.54799880340018e-06
"M00183",4278.22865276793,0.884441045424184,0.177652063626549,4.978501388441,6.40784839308617e-07,1.29106278734773e-05
"M00081",13.8521197221906,3.00111054638513,0.60473270660566,4.96270585930475,6.95178215370311e-07,1.35063196129089e-05
"M00192",8.9575451271709,-5.83219524543494,1.18906342037048,-4.90486474103947,9.34917412971618e-07,1.75377611260883e-05
"M00200",401.925922670912,1.18740882147555,0.244885929357885,4.84882420394287,1.24195421706942e-06,2.25207698028589e-05
"M00343",63.8995091301816,1.5175687980111,0.315774512556397,4.80586221391146,1.54085994779031e-06,2.70396068257396e-05
"M00089",155.681987076436,-0.996280853907038,0.2078242794899,-4.79386170062703,1.63601079164352e-06,2.78121834579398e-05
"M00323",93.6009913416674,2.8611747690684,0.600263173658871,4.76653390483421,1.87422202885254e-06,3.08962661725995e-05
