"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ko04724",700.786695653273,1.42250072365449,0.132535075227237,10.7330132888637,7.1234683135845e-27,2.47184350481382e-24
"map04724",700.786695653273,1.42250072365449,0.132535075227237,10.7330132888637,7.1234683135845e-27,2.47184350481382e-24
"ko04727",720.437316399733,1.38554889142957,0.135468549677133,10.2278270102677,1.48821135164636e-24,2.58204669510644e-22
"map04727",720.437316399733,1.38554889142957,0.135468549677133,10.2278270102677,1.48821135164636e-24,2.58204669510644e-22
"ko04217",1068.93358099514,0.887883966085401,0.12164698169218,7.29885734717312,2.90221816912146e-13,3.35689901561715e-11
"map04217",1068.93358099514,0.887883966085401,0.12164698169218,7.29885734717312,2.90221816912146e-13,3.35689901561715e-11
"ko00790",683.294838377974,-0.726286154860833,0.100957916597543,-7.19394951221197,6.29434787414816e-13,5.46034678082353e-11
"map00790",683.294838377974,-0.726286154860833,0.100957916597543,-7.19394951221197,6.29434787414816e-13,5.46034678082353e-11
"ko00040",9593.96422830814,1.98714090333616,0.293572571479487,6.76882344056115,1.29833865631176e-11,9.01047027480359e-10
"map00040",9593.96422830814,1.98714090333616,0.293572571479487,6.76882344056115,1.29833865631176e-11,9.01047027480359e-10
"ko00053",9205.50500441347,2.08947012250811,0.316244885564158,6.6071270015344,3.91849871050573e-11,2.26619842090914e-09
"map00053",9205.50500441347,2.08947012250811,0.316244885564158,6.6071270015344,3.91849871050573e-11,2.26619842090914e-09
"ko03430",1122.23077735481,-0.574790319954883,0.0874941250188939,-6.56947331984588,5.04935407622428e-11,2.50303694921404e-09
"map03430",1122.23077735481,-0.574790319954883,0.0874941250188939,-6.56947331984588,5.04935407622428e-11,2.50303694921404e-09
"ko00520",11518.1821352705,1.55088931639056,0.236867892945984,6.54748643685631,5.85135331783962e-11,2.53802450161294e-09
"map00520",11518.1821352705,1.55088931639056,0.236867892945984,6.54748643685631,5.85135331783962e-11,2.53802450161294e-09
"ko00220",1599.63295159602,0.592113961032419,0.095327853114198,6.21134266312592,5.25337745072482e-10,2.02546886155724e-08
"map00220",1599.63295159602,0.592113961032419,0.095327853114198,6.21134266312592,5.25337745072482e-10,2.02546886155724e-08
"ko00010",4804.66316778565,0.399474273485876,0.0645588745858927,6.18775150664056,6.10284298308781e-10,2.11768651513147e-08
