ko;RNA_PA_A_T1_insitu;RNA_PA_A_T1_plant;RNA_PA_A_T3_insitu;RNA_PA_A_T3_plant;RNA_SG_A_T1_insitu;RNA_SG_A_T1_plant;RNA_SG_A_T3_insitu;RNA_SG_A_T3_plant
ko:K00001;116;89;151;103;103;127;114;64
ko:K00002;15;6;0;0;0;0;0;0
ko:K00003;124;75;74;89;47;32;16;12
ko:K00004;20;16;14;12;12;9;4;7
ko:K00005;22;17;2;2;0;2;0;0
ko:K00007;0;0;0;0;0;0;0;2
ko:K00008;118;64;29;66;38;32;17;14
ko:K00009;0;6;6;0;0;1;1;2
ko:K00010;112;63;54;38;10;13;17;7
ko:K00011;0;0;0;6;3;2;0;0
ko:K00012;6781;3356;6207;3640;10219;12277;8209;5433
ko:K00013;109;67;48;51;34;35;20;13
ko:K00014;51;38;30;32;13;7;13;0
ko:K00015;76;40;27;44;21;18;6;4
ko:K00016;69;53;10;21;30;34;34;12
ko:K00018;16;5;9;17;3;7;1;3
ko:K00019;51;78;25;32;58;20;12;10
ko:K00020;115;66;62;115;59;38;19;31
ko:K00021;15;3;2;6;7;10;2;8
ko:K00023;185;105;63;70;340;111;85;64
ko:K00024;254;270;136;217;255;127;126;65
ko:K00027;170;86;39;71;62;63;63;30
ko:K00029;69;93;53;140;142;68;29;34
ko:K00030;164;136;51;55;27;36;27;16
ko:K00031;328;345;159;285;340;166;152;86
ko:K00032;3;0;0;2;0;0;0;0
ko:K00033;345;132;93;111;81;93;64;44
ko:K00034;95;46;48;50;18;32;27;9
ko:K00035;0;2;0;3;16;22;13;16
ko:K00036;342;212;72;93;146;205;123;43
ko:K00038;3;2;2;0;4;2;0;0
ko:K00039;0;0;0;0;5;0;2;2
ko:K00040;8;0;4;5;17;32;15;16
ko:K00041;0;2;2;0;1;0;0;0
ko:K00042;99;43;25;36;46;22;8;16
ko:K00043;21;32;5;21;10;3;3;3
ko:K00045;6;0;6;3;14;28;17;13
ko:K00046;42;38;21;24;15;14;12;5
ko:K00048;11;6;0;0;1;1;0;0
ko:K00050;4;0;0;0;0;0;0;0
ko:K00052;174;91;107;172;74;59;28;48
ko:K00053;276;137;160;189;196;101;111;60
ko:K00054;17;26;4;11;2;6;6;3
ko:K00055;12;14;7;9;1;2;9;1
ko:K00057;79;48;29;56;26;10;9;5
ko:K00058;359;265;209;236;111;93;62;50
ko:K00059;627;467;268;418;337;203;177;109
ko:K00060;40;39;16;23;7;8;2;0
ko:K00064;16;10;15;15;4;5;4;1
ko:K00065;34;6;18;20;6;9;4;4
ko:K00066;33;19;16;14;13;12;11;5
ko:K00067;150;123;91;115;28;44;27;15
ko:K00068;16;16;11;3;10;10;6;8
ko:K00073;21;12;10;15;3;3;0;0
ko:K00074;151;126;156;134;104;50;82;33
ko:K00075;73;67;33;42;25;16;9;8
ko:K00076;8;10;5;8;7;3;11;0
ko:K00077;50;34;33;54;23;12;17;2
ko:K00082;18;4;7;10;3;1;2;3
ko:K00086;45;17;53;72;4;7;2;2
ko:K00087;8;0;1;8;0;0;0;0
ko:K00088;452;353;221;228;144;119;111;66
ko:K00090;10;2;5;8;4;0;2;1
ko:K00091;40;30;24;40;4;11;0;0
ko:K00094;0;0;0;0;0;0;0;0
ko:K00096;23;21;0;2;3;7;6;0
ko:K00097;116;124;16;53;21;26;7;4
ko:K00098;1;4;0;2;1;1;2;2
ko:K00099;98;92;40;61;23;10;14;17
ko:K00100;0;0;0;4;0;0;0;0
ko:K00101;19;22;108;187;25;37;25;7
ko:K00102;90;52;42;52;57;17;18;14
ko:K00103;13;4;6;7;0;3;0;0
ko:K00104;211;102;165;253;81;92;76;20
ko:K00105;0;0;0;0;2;0;0;0
ko:K00106;0;0;0;0;1;0;0;0
ko:K00108;115;67;33;50;76;27;4;8
ko:K00109;4;0;2;2;0;0;2;0
ko:K00111;161;117;84;102;90;71;36;39
ko:K00112;0;0;0;0;1;0;0;0
ko:K00113;6;1;4;4;0;0;5;2
ko:K00114;471;265;203;237;577;765;361;255
ko:K00116;18;4;19;9;7;1;7;5
ko:K00117;43;18;210;314;87;54;42;27
ko:K00118;6;1;8;12;4;4;5;0
ko:K00121;108;100;51;50;71;82;59;26
ko:K00122;47;25;20;31;24;11;15;9
ko:K00123;792;550;334;596;404;261;247;154
ko:K00124;98;63;63;74;63;45;42;23
ko:K00125;0;0;2;0;0;0;0;0
ko:K00126;0;0;0;1;0;0;0;0
ko:K00127;47;38;53;121;44;10;11;17
ko:K00128;342;240;201;304;153;150;141;84
ko:K00129;3;14;11;23;0;0;1;2
ko:K00130;189;126;84;67;69;65;52;35
ko:K00131;10;6;2;2;4;1;1;0
ko:K00132;37;13;28;41;7;6;19;9
ko:K00133;196;149;114;154;114;63;68;26
ko:K00134;622;570;188;358;353;268;168;111
ko:K00135;383;199;160;191;160;126;109;51
ko:K00137;3;5;8;7;5;14;1;1
ko:K00138;44;119;206;260;122;46;139;62
ko:K00140;246;232;166;230;121;70;56;38
ko:K00141;4;5;1;11;10;16;12;5
ko:K00145;125;90;79;94;26;33;19;10
ko:K00146;61;36;25;29;32;50;49;34
ko:K00147;110;106;84;105;25;19;11;12
ko:K00148;297;164;67;51;137;167;91;49
ko:K00150;4;3;6;13;10;6;5;0
ko:K00151;18;15;10;8;6;2;4;1
ko:K00152;0;0;0;0;0;0;0;0
ko:K00153;43;23;12;6;3;18;14;2
ko:K00154;38;51;8;3;3;6;2;0
ko:K00156;611;244;118;123;42;39;36;24
ko:K00158;177;62;68;74;28;23;26;9
ko:K00161;496;383;202;302;206;137;114;62
ko:K00162;333;254;158;191;145;116;65;45
ko:K00163;224;246;144;199;374;298;236;178
ko:K00164;866;657;299;425;558;347;262;163
ko:K00166;87;89;81;86;37;33;37;16
ko:K00167;99;91;35;55;17;29;21;15
ko:K00169;25;14;8;11;56;0;9;6
ko:K00170;87;53;10;8;29;5;6;4
ko:K00171;30;16;0;2;0;0;0;0
ko:K00172;30;16;0;4;11;3;3;4
ko:K00174;166;121;333;282;215;134;117;85
ko:K00175;103;43;195;154;129;50;85;57
