kom;RNA_PA_A_T1_insitu;RNA_PA_A_T1_plant;RNA_PA_A_T3_insitu;RNA_PA_A_T3_plant;RNA_SG_A_T1_insitu;RNA_SG_A_T1_plant;RNA_SG_A_T3_insitu;RNA_SG_A_T3_plant
M00001;3575;2846;1218;1758;1214;909;656;444
M00002;1942;1615;707;1128;808;587;393;272
M00003;3483;2887;1421;1834;1403;1023;754;506
M00004;3007;1849;843;1161;787;888;642;337
M00005;207;210;135;193;123;90;65;46
M00006;809;420;244;295;243;316;194;100
M00007;2086;1325;537;795;492;529;394;214
M00008;513;338;169;213;194;241;147;72
M00009;6743;5329;3270;4411;4341;2550;1973;1241
M00010;1872;1710;832;1312;1419;799;643;377
M00011;4871;3619;2438;3099;2922;1751;1330;864
M00012;2092;1874;939;1532;1712;877;807;435
M00013;570;538;364;531;329;233;173;122
M00014;7177;3555;6323;3807;10303;12347;8260;5457
M00015;280;244;124;192;41;39;33;21
M00016;1545;1135;687;1028;527;394;310;229
M00017;1726;1164;736;930;526;367;312;172
M00018;992;727;604;674;371;290;219;136
M00019;1822;1092;901;1243;878;613;462;354
M00020;445;330;277;337;169;130;100;65
M00021;725;487;248;390;246;119;108;70
M00022;963;652;423;588;222;144;118;95
M00023;876;638;295;389;184;151;122;56
M00024;146;153;105;145;99;37;26;23
M00025;207;194;134;173;98;44;37;25
M00026;768;568;467;817;261;181;166;114
M00027;626;343;294;371;236;185;138;87
M00028;569;398;321;444;203;168;126;90
M00029;598;400;286;328;197;142;96;80
M00030;21;28;5;32;19;7;5;5
M00031;172;55;66;58;34;32;23;8
M00032;1739;1483;696;974;951;628;436;262
M00033;449;354;324;388;223;124;113;76
M00034;1877;1657;552;778;413;281;255;149
M00035;1407;1169;563;856;572;389;292;176
M00036;2898;1963;1158;1639;934;676;509;355
M00037;70;28;13;40;8;13;7;12
M00038;198;183;52;87;75;30;44;19
M00039;23;14;11;15;1;4;4;1
M00040;14;37;21;41;55;8;12;11
M00042;138;57;88;92;32;23;14;12
M00044;229;269;91;148;197;80;66;40
M00045;222;166;113;183;59;28;27;20
M00046;260;205;205;343;133;73;57;76
M00047;0;0;0;2;2;0;4;1
M00048;1484;1169;752;1129;577;343;307;187
M00049;1044;817;531;772;411;258;185;168
M00050;1202;982;576;684;439;317;245;176
M00051;1042;817;567;799;412;229;210;136
M00052;559;548;243;410;286;189;125;106
M00053;1416;1327;844;1423;1016;604;368;340
M00055;0;0;2;0;0;0;0;0
M00057;0;0;0;0;0;0;0;0
M00060;411;343;388;542;150;82;60;51
M00061;250;149;155;170;104;115;71;43
M00063;133;150;88;146;74;30;17;22
M00064;600;398;135;231;80;111;41;27
M00065;4;4;9;7;0;0;2;0
M00066;2;4;8;3;3;0;10;4
M00072;6;5;10;5;21;19;12;2
M00073;0;0;0;0;0;0;0;2
M00074;0;0;0;0;0;0;0;2
M00075;0;0;0;1;3;2;0;0
M00076;52;32;16;24;14;7;15;7
M00077;52;32;24;31;14;10;18;8
M00078;111;58;46;47;11;5;15;3
M00079;95;70;54;75;26;15;8;1
M00080;133;99;122;146;28;34;18;7
M00081;13;4;1;6;21;20;16;6
M00082;1577;1208;694;959;468;331;191;155
M00083;2149;1536;1002;1366;854;568;446;269
M00085;25;39;15;33;0;2;2;0
M00086;1179;1024;355;469;281;196;164;116
M00087;1426;1361;570;777;732;415;289;208
M00088;1207;887;527;688;742;424;342;229
M00089;499;350;241;398;111;66;51;36
M00090;0;2;0;3;0;0;5;0
M00091;5;4;21;41;16;11;5;8
M00093;200;177;96;149;64;47;28;15
M00094;5;14;5;5;2;3;4;2
M00095;1141;792;477;638;682;403;310;210
M00096;1292;948;643;671;413;319;231;185
M00097;65;44;35;66;11;13;5;1
M00098;19;40;28;50;11;6;0;2
M00099;29;17;12;8;2;3;4;2
M00100;13;22;6;11;2;2;5;3
M00101;0;2;4;2;0;0;0;0
M00102;0;0;4;2;0;0;0;0
M00104;14;23;26;20;5;3;3;3
M00107;6;3;0;3;1;3;2;0
M00110;6;3;0;3;1;3;2;0
M00112;16;5;7;2;0;1;1;0
M00113;453;340;150;158;174;93;73;50
M00114;1336;855;398;556;302;197;174;99
M00115;659;450;364;426;293;240;190;123
M00116;310;220;137;181;59;54;33;17
M00117;366;286;154;232;118;77;66;40
M00118;139;177;69;121;82;24;24;21
M00119;693;472;388;471;242;151;131;103
M00120;391;288;189;223;97;69;52;40
M00121;1472;1142;607;752;408;240;222;134
M00122;297;194;52;125;49;45;39;18
M00123;451;468;111;150;93;49;35;25
M00124;241;248;147;198;111;73;57;29
M00125;614;412;286;341;188;105;140;87
M00126;800;735;344;496;148;113;96;56
M00127;410;371;172;253;149;88;58;65
M00128;5;12;9;6;15;2;0;3
M00129;6980;3510;6363;3805;10356;12379;8274;5482
