kop;RNA_PA_A_T1_insitu;RNA_PA_A_T1_plant;RNA_PA_A_T3_insitu;RNA_PA_A_T3_plant;RNA_SG_A_T1_insitu;RNA_SG_A_T1_plant;RNA_SG_A_T3_insitu;RNA_SG_A_T3_plant
ko00010;10221;7743;4741;5980;5109;4043;2963;1958
ko00020;8996;7242;4461;5939;5675;3513;2709;1763
ko00030;5868;4042;2275;2941;1870;1688;1251;748
ko00040;8682;4565;7071;4706;10908;12936;8667;5721
ko00051;4035;2906;2620;3048;2754;1059;880;629
ko00052;2231;1771;1479;1952;799;804;624;347
ko00053;7562;3829;6704;4310;10547;12550;8443;5601
ko00061;4595;3561;1908;2653;1522;1074;791;520
ko00062;25;39;15;33;0;2;2;0
ko00071;4468;3741;2071;2638;2164;1490;1158;752
ko00072;1326;1016;603;757;905;462;371;253
ko00073;12;6;0;2;2;0;0;0
ko00100;9;6;9;8;1;0;0;0
ko00120;14;23;26;20;5;3;3;3
ko00121;13;12;6;8;7;3;11;1
ko00130;894;736;438;619;409;211;250;122
ko00140;82;48;88;156;13;33;11;9
ko00190;15445;11672;6791;8706;7405;4639;3594;2270
ko00195;4341;3658;2472;3075;1926;1236;1104;655
ko00196;32;17;14;20;3;1;1;0
ko00220;3186;2344;1414;1912;1694;1384;1183;655
ko00230;30896;22220;18087;22903;20677;21180;26638;11400
ko00232;8;8;4;2;8;7;5;1
ko00240;26832;18927;15850;19698;19398;20061;25800;10932
ko00250;6625;4902;3166;4312;3272;2435;1993;1243
ko00253;13;6;27;29;1;0;4;1
ko00260;8075;5256;2978;3940;2122;1511;1068;721
ko00261;1438;1052;648;1132;511;354;289;183
ko00270;7172;5441;2751;4018;2390;1607;1324;793
ko00280;7141;5176;3061;4267;2880;1952;1424;1014
ko00281;905;782;338;451;314;206;145;111
ko00290;3100;1933;1619;2317;1401;1022;798;606
ko00300;2382;1723;1022;1457;730;557;418;294
ko00310;3630;2810;1593;2199;2067;1330;1009;622
ko00311;297;215;141;217;49;37;32;21
ko00330;2742;2055;1350;2015;1079;869;694;483
ko00331;11;9;11;13;3;3;2;0
ko00332;215;203;120;161;31;30;22;15
ko00333;1208;851;429;618;463;287;250;146
ko00340;1644;1184;866;1415;499;390;359;232
ko00350;1711;1209;1067;1526;961;651;598;331
ko00360;2179;1650;1301;1960;1402;674;673;394
ko00361;342;239;282;308;181;149;122;79
ko00362;2580;2072;1389;1946;2054;972;765;536
ko00363;8;3;2;0;6;6;3;0
ko00364;196;136;121;159;129;147;96;74
ko00365;130;94;17;20;12;4;4;12
ko00380;4073;2808;1583;2179;1995;1407;1089;689
ko00400;2700;1978;1181;1852;749;527;458;246
ko00401;433;329;375;738;188;109;140;58
ko00404;44;58;23;28;19;21;22;5
ko00405;262;203;99;167;55;42;44;17
ko00410;1925;1628;1188;1776;948;637;497;403
ko00430;1162;832;452;679;512;306;223;160
ko00440;97;78;99;88;86;47;29;30
ko00450;3958;2628;1467;1952;802;628;524;291
ko00460;1096;737;513;786;500;382;258;184
ko00471;622;528;256;419;198;112;126;89
ko00472;36;62;37;52;28;6;4;10
ko00473;287;273;167;334;93;89;46;44
ko00480;2536;2203;1111;1777;1280;859;712;422
ko00500;5176;4331;2234;3242;1807;2078;1457;770
ko00510;143;110;47;61;42;45;25;20
ko00511;604;345;443;610;171;107;90;54
ko00513;33;43;40;48;45;31;15;4
ko00514;144;58;19;21;4;14;8;2
ko00515;151;58;19;21;4;15;8;2
ko00520;12317;7750;9785;8265;13488;13871;9575;6348
ko00521;1761;1403;751;1071;451;501;421;229
ko00522;14;13;4;6;0;2;0;0
ko00523;938;763;405;658;198;249;196;105
ko00524;220;159;71;89;50;53;26;27
ko00525;578;401;233;420;122;125;112;63
ko00531;325;249;131;223;64;45;43;27
ko00532;4;0;0;0;0;0;0;0
ko00534;0;0;0;0;0;0;0;0
ko00540;1305;1004;742;1075;332;260;143;118
ko00550;3150;2515;1315;2074;734;594;417;343
ko00561;1849;1114;821;1151;471;495;316;192
ko00562;1412;1043;827;1076;564;659;379;235
ko00563;5;9;9;11;13;0;6;2
ko00564;1516;1194;832;1212;478;360;263;190
ko00565;102;88;54;96;46;36;38;19
ko00590;252;129;43;35;47;58;25;19
ko00591;37;11;121;94;40;39;25;5
ko00592;455;340;150;162;176;94;73;50
ko00600;661;412;510;700;140;101;86;59
ko00601;0;0;0;2;1;0;0;0
ko00603;181;111;109;108;48;36;12;13
ko00604;27;38;30;43;24;12;3;0
ko00620;10341;7475;5352;7011;5756;3559;2834;1890
ko00621;96;53;43;31;17;25;15;17
ko00622;210;139;77;100;70;98;55;43
ko00623;159;144;227;254;131;133;124;79
ko00624;38;27;85;105;78;52;41;50
ko00625;1605;1043;1061;1430;1157;1398;863;545
ko00626;261;216;263;226;219;239;199;125
ko00627;1049;700;425;692;634;330;293;188
ko00630;13522;9438;5138;7450;6026;4227;3316;1995
ko00633;10527;5905;748;751;913;856;592;432
ko00640;8598;6211;5401;6946;5026;4070;2897;2308
ko00642;508;384;340;678;212;196;427;126
ko00643;713;442;246;333;341;192;156;102
ko00650;6251;4489;3567;3935;4192;2368;1836;1224
ko00660;2057;1405;1001;1411;1105;748;523;393
ko00670;3282;2145;969;1256;630;477;328;218
ko00680;7590;5338;3477;4870;4097;2753;2369;1245
ko00710;6873;5288;1942;2751;2021;1499;996;667
ko00720;8508;6450;4281;5676;5204;3087;2224;1491
ko00730;1719;1257;943;1323;542;401;299;248
ko00740;692;471;322;376;204;115;145;92
ko00750;998;797;561;550;272;267;217;113
ko00760;2475;1802;1139;1472;845;659;466;329
ko00770;2778;1809;1529;2034;1218;816;639;496
ko00780;2288;1758;870;1229;828;546;423;263
ko00785;418;292;171;178;117;83;66;67
ko00790;2072;1696;914;1241;516;348;281;187
ko00791;75;71;35;40;48;50;77;21
ko00830;248;193;215;164;203;224;186;103
ko00860;3483;2441;1265;1662;1204;677;557;312
ko00900;2846;2029;1288;1588;1191;801;614;433
ko00901;53;26;11;19;4;13;7;12
ko00902;1;3;1;4;0;0;3;0
ko00903;654;544;324;478;274;244;214;122
ko00906;171;138;68;125;40;32;12;12
ko00908;34;34;21;42;10;1;5;1
ko00909;44;28;58;77;16;16;10;4
ko00910;4512;3040;2068;3356;7450;2354;2357;1065
ko00920;3727;2712;1829;3293;1529;1005;1057;497
ko00930;450;387;245;310;194;158;98;78
ko00940;439;241;185;244;241;233;181;121
ko00941;17;13;9;15;1;4;2;1
ko00943;17;20;2;4;6;1;4;2
ko00944;34;19;8;3;9;5;13;3
ko00945;17;13;9;15;1;4;2;1
ko00950;419;247;237;321;200;112;105;66
ko00960;448;333;378;763;224;123;136;66
ko00965;140;59;93;106;39;25;25;17
ko00966;262;204;135;196;134;108;98;63
ko00970;6378;5034;2613;3711;2193;1561;1194;812
ko00980;450;518;298;376;365;327;259;162
ko00981;342;240;201;304;153;150;141;84
ko00982;499;536;311;402;353;299;252;161
ko00983;2128;2093;1151;1736;716;495;408;305
ko00984;164;127;91;112;64;72;26;20
ko01040;1077;914;571;884;537;349;315;200
ko01051;1058;719;248;392;270;287;170;120
ko01052;269;198;34;33;8;20;5;9
ko01053;124;143;44;116;24;29;8;5
ko01054;51;33;21;69;15;6;0;5
ko01055;404;313;150;305;84;107;96;47
ko01056;9;10;20;14;0;0;1;1
ko01057;76;26;15;22;9;17;13;4
ko01059;149;156;27;64;42;63;31;31
ko01062;50;40;27;51;9;9;3;1
ko01100;142792;103665;71116;89885;75530;64805;59150;32045
ko01110;51045;38264;23305;32360;21332;15654;11865;7551
ko01120;56754;39443;21787;29738;27967;17202;13470;8218
ko01130;44020;32650;19568;27484;18625;13700;10131;6555
ko01200;31927;23533;13055;18118;14879;10183;7762;4768
ko01210;6168;4430;3125;4456;3323;2184;1745;1168
ko01212;7169;5780;3026;4173;2981;1921;1433;957
ko01220;1043;688;1092;1514;1077;717;825;418
ko01230;22038;16354;9722;13890;9067;6639;5155;3316
ko01501;3631;2450;1253;1781;856;623;467;305
ko01502;784;602;362;618;176;167;91;74
ko01503;2196;1913;1345;1931;849;514;335;231
ko01521;0;0;0;0;0;1;0;0
ko01523;962;679;348;495;284;215;124;107
ko01524;1074;812;428;619;621;179;127;105
ko02010;18293;11612;6778;9078;6905;3961;2957;2060
ko02020;12168;10917;8298;12293;9290;4120;3648;2230
ko02024;22402;15993;8488;11390;6796;4192;3205;2270
ko02025;3304;3399;1681;2540;1418;945;637;502
ko02026;2134;1738;1466;2074;1005;853;621;423
ko02030;1902;2043;1286;1658;1722;713;455;378
ko02040;827;1002;1480;2255;1523;315;209;216
ko02060;347;304;930;773;1736;234;264;225
ko03008;180;148;58;89;66;62;42;27
ko03010;17495;18060;11221;17799;10784;7903;6406;4160
ko03013;261;186;132;173;55;104;77;22
ko03015;102;71;14;28;18;27;16;4
ko03018;12724;9477;5391;7699;5291;3994;3244;2181
ko03020;6904;5257;3938;6007;4267;3714;3604;2137
ko03022;44;28;37;39;39;44;76;29
ko03030;15521;9960;9444;9723;12789;14879;21098;7932
ko03050;252;178;305;139;273;399;316;149
ko03060;4357;3583;1882;2777;1424;1042;912;558
ko03070;5776;5330;5315;7457;2269;1543;1263;806
ko03320;2153;1905;1105;1323;943;736;571;388
ko03410;1348;1044;614;928;307;315;231;139
ko03420;2117;1494;856;1203;655;599;469;277
ko03430;3151;2416;1500;2154;836;611;497;351
ko03440;3902;3017;1688;2518;1171;815;585;405
ko03450;232;189;196;223;123;162;114;70
ko03460;8;2;2;0;15;18;8;1
ko04010;0;0;1;0;0;0;0;0
ko04011;334;147;137;197;80;114;82;39
ko04013;612;535;268;427;233;137;144;70
ko04014;19;13;6;12;8;0;2;0
ko04015;0;0;0;0;0;0;0;0
ko04016;1096;698;461;587;477;222;137;103
ko04020;8;3;3;10;8;8;4;3
ko04022;8;3;1;3;5;6;2;3
ko04024;25;22;8;17;15;0;8;1
ko04064;229;107;21;8;15;30;8;9
ko04066;1747;1432;678;1091;872;610;406;260
ko04068;1188;972;730;873;565;435;400;229
ko04070;255;174;88;102;52;61;34;29
ko04071;61;48;23;29;12;5;10;5
ko04072;42;36;18;19;14;3;2;6
ko04080;42;54;9;13;3;4;4;0
ko04110;8;2;1;0;5;11;3;5
ko04112;4811;4231;2965;4383;2752;1986;1786;1249
ko04113;199;252;303;476;122;112;92;82
ko04114;0;0;0;0;0;0;0;0
ko04115;229;120;101;145;203;63;33;16
ko04122;2372;1396;948;1135;505;411;397;183
ko04138;47;38;60;77;12;18;15;18
ko04140;6;3;16;36;3;3;5;1
ko04141;1253;864;364;431;909;600;415;183
ko04142;412;228;265;370;98;57;51;20
ko04144;28;29;40;40;8;0;2;0
ko04145;6;2;17;36;0;0;0;0
ko04146;3125;2526;1216;1746;1057;692;628;363
ko04150;0;0;0;0;0;1;0;0
ko04151;414;421;370;303;363;238;212;143
ko04152;524;511;513;500;477;355;301;206
ko04210;262;165;124;199;228;106;44;24
ko04211;946;682;405;624;306;251;226;109
ko04212;9973;7233;4008;5913;3982;3001;2536;1776
ko04213;1844;1393;993;1545;684;496;473;285
ko04214;422;462;279;535;519;169;105;71
ko04215;229;120;101;145;203;63;33;16
ko04216;1194;1033;355;470;286;199;164;117
ko04217;1636;1401;839;1243;1178;1017;856;478
ko04218;0;0;0;0;0;0;0;0
ko04260;250;275;153;234;332;118;144;88
ko04261;0;0;0;0;0;0;0;0
ko04270;0;0;0;0;0;0;0;0
ko04310;2;0;0;0;0;1;0;0
ko04320;5;0;0;0;0;0;0;0
ko04330;2;0;0;0;0;1;0;0
ko04360;0;0;0;0;0;0;0;0
ko04370;229;107;21;8;15;30;8;9
ko04371;0;0;0;0;0;1;0;0
ko04380;0;0;8;11;2;0;2;0
ko04510;4;0;0;0;0;0;0;0
ko04512;4;0;0;0;0;0;0;0
ko04530;8;2;1;0;5;11;3;5
ko04550;1;4;1;6;2;4;4;0
ko04611;7;2;0;0;0;0;0;1
ko04612;179;149;60;101;97;41;33;22
ko04614;443;476;126;258;71;66;50;43
ko04620;0;0;0;0;0;0;0;0
